Crate,Features,Feature dependencies,Configurations,Default configurations,Unique configurations,Estimated number of configurations (flat),Estimated number of configurations (fca),Configuration number (flat),Configuration number (fca)
tokio@1.48.0,27,35,986,37,134,13934592,663552,1197576,246112
clap@4.5.51,23,27,989,19,45,3538944,35456,698890,5952
serde@1.0.228,8,6,980,80,10,108,48,75,30
serde_json@1.0.145,11,6,998,882,15,576,112,384,35
syn@2.0.108,15,8,962,176,35,9216,1176,7008,400
winnow@0.7.13,12,12,588,420,7,1728,640,430,576
url@2.5.7,8,5,998,966,4,128,8,72,8
nom@8.0.0,5,3,633,588,4,16,8,12,8
wasi@0.14.7+wasi-0.2.4,4,3,124,118,2,12,8,9,8
hashbrown@0.16.0,15,11,255,96,17,9216,4608,4900,1632
hyper@1.7.0,23,21,810,183,21,1327104,3072,247040,2112
