Crate,Features,Feature dependencies,Configurations,Default only configurations,Unique configurations,Estimated number of configurations (flat),Estimated number of configurations (fca),Configuration number (flat),Configuration number (fca)
tokio@1.48.0,27,35,984,57,144,13934592,663552,1197576,246112
clap@4.5.51,22,10,959,28,53,3538944,35456,698890,5952
serde@1.0.228,7,2,997,202,11,108,48,75,30
serde_json@1.0.145,9,3,1000,895,16,576,112,384,35
syn@2.0.108,13,6,958,192,35,9216,1176,7008,400
winnow@0.7.13,12,12,579,411,7,1728,640,430,576
url@2.5.7,5,2,997,953,3,128,8,72,8
nom@8.0.0,4,2,626,583,4,16,8,12,8
wasi@0.14.7+wasi-0.2.4,3,0,124,118,2,12,8,9,8
hashbrown@0.16.0,14,10,225,92,15,9216,4608,4900,1632
hyper@1.7.0,23,21,804,189,22,1327104,3072,247040,2112
