Crate,Estimation,Exact
addr2line@0.25.1,36864,8420
adler@1.0.2,18,15
adler2@2.0.1,9,9
aes@0.9.0-rc.2,8,8
ahash@0.8.12,576,504
aho-corasick@1.1.4,24,21
allocator-api2@0.3.1,24,16
ansi_term@0.12.1,6,6
anstream@0.6.21,24,20
anstyle@1.0.13,3,3
anstyle-parse@0.2.7,12,12
anyhow@1.0.100,6,6
arc-swap@1.7.1,64,64
arrayvec@0.7.6,24,24
async-channel@2.5.0,9,9
async-lock@3.4.1,6,6
axum@0.8.7,39191040,5556510
axum-core@0.5.5,12,12
backtrace@0.3.76,4608,4608
base64@0.22.1,6,4
base64ct@1.8.0,8,6
bincode@2.0.1,32,20
bindgen@0.72.1,5184,3120
bit-set@0.8.0,6,6
bit-vec@0.8.0,180,156
bitflags@2.10.0,96,96
bitvec@1.0.1,48,28
brotli@8.0.2,98304,98304
bstr@1.12.1,32,20
bumpalo@3.19.0,256,192
bytemuck@1.24.0,67108864,28311744
byteorder@1.5.0,6,6
bytes@1.11.0,12,12
cast@0.3.0,4,4
cc@1.2.47,12,10
cfg-if@1.0.4,6,6
chrono@0.4.42,2211840,433728
cipher@0.5.0-rc.2,576,576
clang-sys@1.9.0,270336,504
clap@4.5.53,1376256,698880
clap_builder@4.5.53,1179648,293058
clap_derive@4.5.49,192,100
combine@4.6.7,55296,11144
concurrent-queue@2.5.0,12,12
console@0.16.1,144,56
const-oid@0.10.1,8,8
constant_time_eq@0.4.2,6,6
core-foundation@0.10.1,36,36
core-foundation-sys@0.8.7,12,12
crc32fast@1.5.0,6,6
criterion@0.7.0,31104,6714
crossbeam-channel@0.5.15,3,3
crossbeam-deque@0.8.6,3,3
crossbeam-epoch@0.9.18,36,24
crossbeam-queue@0.3.12,12,8
crossbeam-utils@0.8.21,12,12
crunchy@0.2.4,192,192
crypto-common@0.1.7,12,12
csv-core@0.1.13,4,4
darling@0.21.3,12,12
darling_core@0.21.3,24,24
dashmap@7.0.0-rc2,192,132
data-encoding@2.9.0,6,4
der@0.8.0-rc.10,41472,19584
deranged@0.5.5,2592,1620
derive_more@0.99.20,234881024,167772176
digest@0.11.0-rc.4,1296,1296
displaydoc@0.2.5,3,3
either@1.15.0,12,10
encoding_rs@0.8.35,12288,4752
env_logger@0.11.8,256,111
errno@0.3.14,3,3
event-listener@5.4.1,96,80
fastrand@2.3.0,18,10
fixedbitset@0.5.7,6,6
flate2@1.1.5,5832,1262
fnv@1.0.7,3,3
foreign-types@0.5.0,3,3
form_urlencoded@1.2.2,6,4
funty@3.0.0-rc2,3,3
futures@0.3.31,1792,608
futures-channel@0.3.31,72,48
futures-core@0.3.31,48,32
futures-executor@0.3.31,9,8
futures-io@0.3.31,6,6
futures-lite@2.6.1,96,54
futures-sink@0.3.31,6,4
futures-task@0.3.31,24,16
futures-util@0.3.31,718848,63552
generic-array@1.3.5,1152,1152
getrandom@0.3.4,24,20
gimli@0.32.3,1080,440
h2@0.4.12,8,8
half@2.7.1,4608,3072
hashbrown@0.16.1,9216,4998
hashlink@0.11.0,6,6
hermit-abi@0.5.2,12,10
hex@0.4.3,12,8
hmac@0.13.0-rc.3,4,4
http@1.4.0,3,3
http-body-util@0.1.3,8,8
httparse@1.10.1,3,3
humantime@2.3.0,4,4
hyper@1.8.1,1327104,247040
hyper-rustls@0.27.7,4608,2640
hyper-tls@0.6.0,8,8
hyper-util@0.1.18,4325376,398644
iana-time-zone@0.1.64,4,4
icu_collections@2.1.1,16,12
icu_normalizer@2.0.1,576,342
icu_properties@2.0.2,144,80
icu_provider@2.1.1,89856,21588
idna@1.1.0,12,7
idna_adapter@1.2.1,4,4
indexmap@2.12.1,576,576
instant@0.1.13,192,144
io-lifetimes@3.0.1,768,576
ipnet@2.11.0,54,45
is_terminal_polyfill@1.48.2,2,2
itertools@0.14.0,6,4
js-sys@0.3.82,3,3
lazy_static@1.5.0,6,6
lazycell@1.3.0,24,20
libc@0.2.177,144,100
libloading@0.9.0,3,3
libm@0.2.15,96,60
libz-sys@1.1.23,72,56
linked-hash-map@0.5.6,36,36
linux-raw-sys@0.12.0,150994944,94371840
litemap@0.8.1,96,56
lock_api@0.4.14,64,48
log@0.4.28,11272192,1220608
lru@0.16.2,5,5
matchers@0.2.0,4,4
matchit@0.9.0,4,4
md-5@0.11.0-rc.3,24,20
memchr@2.7.6,216,108
memoffset@0.9.1,8,8
mime_guess@2.0.5,3,3
minimal-lexical@0.1.4,48,48
miniz_oxide@0.8.9,432,360
mio@1.1.0,18,18
multimap@0.10.1,4,4
native-tls@0.2.14,8,8
nix@0.30.1,21743271936,4232577024
nom@8.0.0,12,8
nu-ansi-term@0.50.3,18,18
num@0.1.43,117,53
num-bigint@0.1.45,12,10
num-complex@0.1.44,12,12
num-integer@0.1.46,6,6
num-iter@0.1.45,6,6
num-rational@0.1.43,18,14
num-traits@0.2.19,12,12
num_enum@0.7.5,12,12
num_enum_derive@0.7.5,16,16
object@0.38.0,56623104,1099160
once_cell@1.21.3,216,120
openssl@0.10.75,1024,1024
openssl-sys@0.9.111,108,108
opentelemetry@0.31.0,1536,364
ordered-float@5.1.0,147456,92160
os_str_bytes@7.1.1,18,15
parking_lot@0.12.5,256,256
parking_lot_core@0.9.12,24,20
pbkdf2@0.13.0-rc.2,96,56
pem@3.0.6,9,9
percent-encoding@2.3.2,6,4
pest@2.8.4,192,106
pest_derive@2.8.4,12,12
pest_generator@2.8.4,24,24
pest_meta@2.8.4,8,8
petgraph@0.8.3,13824,2290
phf@0.13.1,72,72
phf_shared@0.13.1,12,12
pkcs8@0.11.0-rc.8,640,208
portable-atomic@1.11.1,1536,1536
powerfmt@0.2.0,16,10
ppv-lite86@0.2.21,12,12
prettyplease@0.2.37,4,4
proc-macro-error@1.0.4,4,4
proc-macro2@1.0.103,12,12
prost@0.14.1,16,14
prost-build@0.14.1,48,30
prost-types@0.14.1,12,12
pyo3-build-config@0.27.1,1152,240
quick-xml@0.38.4,1440,1440
quote@1.0.42,3,3
radium@1.1.1,8,6
rand@0.10.0-rc.5,6400,3072
rand_chacha@0.10.0-rc.1,6,6
rand_core@0.10.0-rc-2,4,4
rand_xorshift@0.5.0-rc.0,4,4
rayon@1.11.0,6,6
rayon-core@1.13.0,6,6
redox_syscall@0.5.18,18,18
regex@1.12.2,3932160,747708
regex-automata@0.4.13,168192000,11204177
regex-syntax@0.8.8,1024,518
reqwest@0.12.24,90786335293440,205782960000
ring@0.17.14,1536,1024
rustc-demangle@0.1.26,24,24
rustc-hash@2.1.1,10,10
