Crate,Quality
adler@1.0.2,0.8703703703703703
ahash@0.8.12,0.9976744186046511
aho-corasick@1.1.4,0.9977653631284916
allocator-api2@0.3.1,1
ansi_term@0.12.1,0.9943820224719101
anstream@0.6.21,0.9682179341657208
anstyle@1.0.13,0.9922222222222222
anyhow@1.0.100,0.9744444444444444
arc-swap@1.7.1,0.9733333333333334
arrayvec@0.7.6,0.9932885906040269
async-channel@2.5.0,1
async-lock@3.4.1,0.9918588873812755
axum@0.8.7,0.9708879184861717
axum-core@0.5.5,1
backtrace@0.3.76,0.9920364050056882
base64@0.22.1,0.9868421052631579
base64ct@1.8.0,1
bincode@2.0.1,0.8686868686868687
bit-set@0.8.0,1
bit-vec@0.8.0,0.8681898066783831
bitflags@2.10.0,0.958041958041958
bitvec@1.0.1,0.9830508474576272
brotli@8.0.2,0.9917491749174917
bstr@1.12.1,0.9854096520763187
bumpalo@3.19.0,0.9777530589543938
bytemuck@1.24.0,0.9543937708565072
byteorder@1.5.0,1
bytes@1.11.0,0.9988888888888889
cast@0.3.0,1
cc@1.2.47,1
cfg-if@1.0.4,1
chrono@0.4.42,0.9587973273942093
clang-sys@1.9.0,0.4253731343283582
clap@4.5.53,0.8855218855218855
clap_builder@4.5.53,0.7
clap_derive@4.5.49,1
combine@4.6.7,0.9745308310991957
concurrent-queue@2.5.0,0.9649122807017544
console@0.16.1,0.9649737302977233
core-foundation@0.10.1,0.9812138728323699
core-foundation-sys@0.8.7,0.9857651245551602
crc32fast@1.5.0,0.9977777777777778
criterion@0.7.0,0.8268156424581006
crossbeam-channel@0.5.15,0.9966666666666667
crossbeam-deque@0.8.6,1
crossbeam-epoch@0.9.18,0.8604651162790697
crossbeam-queue@0.3.12,1
crossbeam-utils@0.8.21,0.9955456570155902
crunchy@0.2.4,0.823045267489712
crypto-common@0.1.7,1
csv-core@0.1.13,1
darling@0.21.3,0.9958762886597938
data-encoding@2.9.0,1
der@0.8.0-rc.10,0.9473684210526315
digest@0.11.0-rc.4,1
displaydoc@0.2.5,1
either@1.15.0,0.9977628635346756
encoding_rs@0.8.35,0.9977777777777778
env_logger@0.11.8,0.9868593955321945
errno@0.3.14,1
event-listener@5.4.1,0.9935622317596566
fastrand@2.3.0,0.9891304347826086
fixedbitset@0.5.7,1
flate2@1.1.5,0.9303370786516854
fnv@1.0.7,1
foreign-types@0.5.0,1
form_urlencoded@1.2.2,0.9819004524886877
futures@0.3.31,0.9577777777777777
futures-channel@0.3.31,0.9839449541284404
futures-core@0.3.31,0.9955555555555555
futures-executor@0.3.31,0.9066666666666666
futures-io@0.3.31,1
futures-lite@2.6.1,0.9988317757009346
futures-sink@0.3.31,0.8944444444444445
futures-task@0.3.31,1
futures-util@0.3.31,0.9866666666666667
generic-array@1.3.5,0.9826388888888888
getrandom@0.3.4,0.9808510638297873
gimli@0.32.3,0.9562289562289562
h2@0.4.12,0.9837962962962963
half@2.7.1,0.9689655172413794
hashbrown@0.16.1,0.7230320699708455
hex@0.4.3,0.9888765294771968
http@1.4.0,0.987012987012987
http-body-util@0.1.3,1
httparse@1.10.1,0.9942726231386025
humantime@2.3.0,0.99
hyper@1.8.1,0.9847222222222223
hyper-rustls@0.27.7,0.9096916299559471
hyper-tls@0.6.0,0.9924242424242424
hyper-util@0.1.18,0.9491525423728814
iana-time-zone@0.1.64,0.9346153846153846
icu_provider@2.1.1,1
idna@1.1.0,0.9752066115702479
indexmap@2.12.1,1
instant@0.1.13,0.9288299155609168
ipnet@2.11.0,1
itertools@0.14.0,0.9679767103347889
js-sys@0.3.82,0.9832335329341317
lazy_static@1.5.0,1
lazycell@1.3.0,1
libc@0.2.177,1
libm@0.2.15,0.9932810750279956
libz-sys@1.1.23,0.9839816933638444
linked-hash-map@0.5.6,1
lock_api@0.4.14,1
log@0.4.28,0.9977777777777778
lru@0.16.2,1
memchr@2.7.6,0.9944320712694877
memoffset@0.9.1,1
mime_guess@2.0.5,1
miniz_oxide@0.8.9,0.9705882352941176
mio@1.1.0,0.9387417218543046
multimap@0.10.1,0.951271186440678
native-tls@0.2.14,0.9907514450867052
nix@0.30.1,0.7392290249433107
nom@8.0.0,0.9620253164556962
nu-ansi-term@0.50.3,1
num-integer@0.1.46,1
num-iter@0.1.45,1
num-traits@0.2.19,0.9911111111111112
num_enum@0.7.5,0.9873125720876585
once_cell@1.21.3,0.9666666666666667
openssl@0.10.75,0.9817351598173516
openssl-sys@0.9.111,1
opentelemetry@0.31.0,0.9731051344743277
ordered-float@5.1.0,1
parking_lot@0.12.5,0.9743016759776536
parking_lot_core@0.9.12,0.7901234567901234
pem@3.0.6,0.9828850855745721
percent-encoding@2.3.2,0.9777777777777777
pest@2.8.4,0.996629213483146
pest_derive@2.8.4,0.9775784753363229
pest_meta@2.8.4,1
petgraph@0.8.3,0.8998109640831758
phf@0.13.1,0.9258373205741627
portable-atomic@1.11.1,0.9862227324913893
prettyplease@0.2.37,0.9955357142857143
proc-macro-error@1.0.4,0.9988864142538976
proc-macro2@1.0.103,0.9722222222222222
prost@0.14.1,0.985781990521327
prost-types@0.14.1,1
quick-xml@0.38.4,0.9613601236476044
quote@1.0.42,0.9988888888888889
rayon@1.11.0,1
rayon-core@1.13.0,1
redox_syscall@0.5.18,1
regex@1.12.2,0.97
regex-automata@0.4.13,0.9042316258351893
regex-syntax@0.8.8,0.9977401129943503
reqwest@0.12.24,0.8318356867779204
ring@0.17.14,0.9964912280701754
rustc-demangle@0.1.26,1
rustc-hash@2.1.1,0.8
rustix@1.1.2,0.833112582781457
rustls@0.23.35,0.977639751552795
rustls-pemfile@2.2.0,0.9756410256410256
rustls-pki-types@1.13.0,1
rustls-webpki@0.103.8,0.8913043478260869
ryu@1.0.20,0.9966666666666667
scopeguard@1.2.0,0.9988864142538976
security-framework@3.5.1,0.7079646017699115
security-framework-sys@2.15.0,1
semver@1.0.27,0.9944196428571429
serde@1.0.228,0.9766666666666667
serde_derive@1.0.228,1
serde_json@1.0.145,0.9933110367892977
serde_with@3.16.0,0.9794754846066135
shlex@1.3.0,1
siphasher@1.0.1,1
slab@0.4.11,1
socket2@0.6.1,0.971252566735113
spin@0.10.0,0.9502572898799314
stable_deref_trait@1.2.1,1
static_assertions@1.1.0,1
strum@0.27.2,0.9511811023622048
subtle@2.6.1,0.9944444444444445
syn@2.0.111,0.9415347137637028
sync_wrapper@1.0.2,1
synstructure@0.13.2,1
target-lexicon@0.13.3,1
tempfile@3.23.0,1
textwrap@0.16.2,0.9684343434343434
thiserror@2.0.17,1
thread_local@1.1.9,1
time@0.3.44,0.9740698985343855
tinystr@0.8.2,0.9571428571428572
tinyvec@1.10.0,0.9555555555555556
tokio@1.47.2,0.8214765100671141
tokio-native-tls@0.3.1,0.9911111111111112
tokio-rustls@0.26.4,0.9869281045751634
tokio-stream@0.1.17,0.9944444444444445
tokio-util@0.7.17,0.9532293986636972
toml@0.9.8,0.9693877551020408
toml_edit@0.23.7,0.9445438282647585
tonic@0.14.2,0.8306451612903226
tower@0.5.2,0.9321789321789322
tower-http@0.6.7,0.838258164852255
tracing@0.1.42,0.9755555555555555
tracing-attributes@0.1.31,1
tracing-core@0.1.35,0.9932659932659933
tracing-log@0.2.0,1
tracing-serde@0.2.0,0.9826589595375722
tracing-subscriber@0.3.21,0.9544444444444444
tungstenite@0.28.0,0.9875776397515528
typenum@1.19.0,0.98
ucd-trie@0.1.7,1
unicase@2.8.1,1
unicode-bidi@0.3.18,0.9835082458770614
unicode-normalization@0.1.25,0.9466666666666667
unicode-segmentation@1.12.0,1
unicode-width@0.2.2,0.9970544918998527
unicode-xid@0.2.6,1
url@2.5.7,0.9797297297297297
utf8parse@0.2.2,1
uuid@1.18.1,0.9908883826879271
vec_map@0.8.2,1
wasi@0.14.7+wasi-0.2.4,0.9635036496350365
wasm-bindgen@0.2.105,0.99644128113879
wasm-bindgen-futures@0.4.55,0.9921787709497206
which@8.0.0,0.9700996677740864
windows-core@0.62.2,0.9
windows-sys@0.61.2,0.4345679012345679
winnow@0.7.14,0.9454545454545454
winreg@0.55.0,1
writeable@0.6.2,0.984
zerocopy@0.8.30,0.9961240310077519
zerofrom@0.1.6,1
zeroize@1.8.2,0.9543429844097996
zerovec@0.11.5,0.7639751552795031
zstd@0.13.3,0.9929161747343566
zstd-safe@7.2.4,0.913946587537092
zstd-sys@2.0.16+zstd.1.5.7,0.9344262295081968
