Crate,Features,Feature dependencies
addr2line@0.25.1,18,20
adler@1.0.2,5,3
adler2@2.0.1,4,2
aes@0.9.0-rc.2,3,0
ahash@0.8.12,11,5
aho-corasick@1.1.4,6,4
allocator-api2@0.3.1,5,2
ansi_term@0.12.1,3,1
anstream@0.6.21,6,4
anstyle@1.0.13,2,1
anstyle-parse@0.2.7,5,3
anyhow@1.0.100,3,1
arc-swap@1.7.1,6,0
arrayvec@0.7.6,5,1
async-channel@2.5.0,4,2
async-lock@3.4.1,3,1
axum@0.8.7,30,32
axum-core@0.5.5,4,1
backtrace@0.3.76,13,2
base64@0.22.1,3,2
base64ct@1.8.0,3,1
bincode@2.0.1,6,4
bindgen@0.72.1,14,7
bit-set@0.8.0,3,1
bit-vec@0.8.0,9,5
bitflags@2.10.0,7,1
bitvec@1.0.1,6,3
brotli@8.0.2,18,3
bstr@1.12.1,6,4
bumpalo@3.19.0,8,1
bytemuck@1.24.0,27,20
byteorder@1.5.0,3,1
bytes@1.11.0,4,1
cast@0.3.0,2,0
cc@1.2.47,4,2
cfg-if@1.0.4,3,1
chrono@0.4.42,24,16
cipher@0.5.0-rc.2,10,2
clang-sys@1.9.0,25,20
clap@4.5.53,22,10
clap_builder@4.5.53,24,22
clap_derive@4.5.49,8,4
combine@4.6.7,19,24
concurrent-queue@2.5.0,4,1
console@0.16.1,8,7
const-oid@0.10.1,3,0
constant_time_eq@0.4.2,3,1
core-foundation@0.10.1,6,2
core-foundation-sys@0.8.7,4,1
crc32fast@1.5.0,3,1
criterion@0.7.0,18,18
crossbeam-channel@0.5.15,2,1
crossbeam-deque@0.8.6,2,1
crossbeam-epoch@0.9.18,6,3
crossbeam-queue@0.3.12,4,2
crossbeam-utils@0.8.21,4,1
crunchy@0.2.4,8,1
crypto-common@0.1.7,4,1
csv-core@0.1.13,2,0
darling@0.21.3,4,1
darling_core@0.21.3,5,1
dashmap@7.0.0-rc2,8,5
data-encoding@2.9.0,3,2
der@0.8.0-rc.10,17,8
deranged@0.5.5,13,6
derive_more@0.99.20,29,25
digest@0.11.0-rc.4,13,6
displaydoc@0.2.5,2,1
either@1.15.0,4,2
encoding_rs@0.8.35,14,7
env_logger@0.11.8,10,9
errno@0.3.14,2,1
event-listener@5.4.1,8,4
fastrand@2.3.0,5,4
fixedbitset@0.5.7,3,1
flate2@1.1.5,16,17
fnv@1.0.7,2,1
foreign-types@0.5.0,2,1
form_urlencoded@1.2.2,3,2
funty@3.0.0-rc2,2,1
futures@0.3.31,13,10
futures-channel@0.3.31,7,3
futures-core@0.3.31,6,2
futures-executor@0.3.31,4,3
futures-io@0.3.31,3,1
futures-lite@2.6.1,8,7
futures-sink@0.3.31,3,2
futures-task@0.3.31,5,2
futures-util@0.3.31,23,19
generic-array@1.3.5,11,2
getrandom@0.3.4,5,2
gimli@0.32.3,13,12
h2@0.4.12,3,0
half@2.7.1,13,3
hashbrown@0.16.1,15,11
hashlink@0.11.0,3,1
hermit-abi@0.5.2,4,2
hex@0.4.3,4,2
hmac@0.13.0-rc.3,2,0
http@1.4.0,2,1
http-body-util@0.1.3,4,2
httparse@1.10.1,2,1
humantime@2.3.0,2,0
hyper@1.8.1,23,21
hyper-rustls@0.27.7,14,9
hyper-tls@0.6.0,3,0
hyper-util@0.1.18,25,33
iana-time-zone@0.1.64,2,0
icu_collections@2.1.1,4,1
icu_normalizer@2.0.1,11,8
icu_properties@2.0.2,9,5
icu_provider@2.1.1,20,19
idna@1.1.0,4,3
idna_adapter@1.2.1,2,0
indexmap@2.12.1,10,2
instant@0.1.13,8,3
io-lifetimes@3.0.1,10,3
ipnet@2.11.0,7,4
is_terminal_polyfill@1.48.2,1,0
itertools@0.14.0,3,2
js-sys@0.3.82,2,1
lazy_static@1.5.0,3,1
lazycell@1.3.0,5,2
libc@0.2.177,8,4
libloading@0.9.0,2,1
libm@0.2.15,7,3
libz-sys@1.1.23,7,4
linked-hash-map@0.5.6,6,2
linux-raw-sys@0.12.0,28,5
litemap@0.8.1,7,4
lock_api@0.4.14,6,1
log@0.4.28,26,18
lru@0.16.2,3,2
matchers@0.2.0,2,0
matchit@0.9.0,2,0
