Crate,Configurations,Default configurations,Unique Configurations
addr2line@0.25.1,54,32,4
adler@1.0.2,120,105,2
adler2@2.0.1,12,1,2
aes@0.9.0-rc.2,34,23,4
ahash@0.8.12,957,713,10
aho-corasick@1.1.4,994,885,5
allocator-api2@0.3.1,104,36,3
ansi_term@0.12.1,988,983,2
anstream@0.6.21,978,902,5
anstyle@1.0.13,999,973,3
anstyle-parse@0.2.7,63,63,1
anyhow@1.0.100,999,961,5
arc-swap@1.7.1,1000,965,3
arrayvec@0.7.6,993,622,6
async-channel@2.5.0,783,730,3
async-lock@3.4.1,821,792,3
axum@0.8.7,766,367,33
axum-core@0.5.5,399,339,2
backtrace@0.3.76,977,926,7
base64@0.22.1,844,828,4
base64ct@1.8.0,871,239,6
bincode@2.0.1,330,110,9
bindgen@0.72.1,91,87,4
bit-set@0.8.0,435,400,2
bit-vec@0.8.0,632,548,3
bitflags@2.10.0,953,733,8
bitvec@1.0.1,983,738,8
brotli@8.0.2,673,589,7
bstr@1.12.1,990,527,7
bumpalo@3.19.0,998,262,15
bytemuck@1.24.0,998,462,20
byteorder@1.5.0,998,865,4
bytes@1.11.0,1000,891,5
cast@0.3.0,510,382,3
cc@1.2.47,980,715,3
cfg-if@1.0.4,995,971,2
chrono@0.4.42,998,362,15
cipher@0.5.0-rc.2,98,82,4
clang-sys@1.9.0,297,82,11
clap@4.5.53,990,22,42
clap_builder@4.5.53,169,39,8
clap_derive@4.5.49,845,845,1
combine@4.6.7,828,718,3
concurrent-queue@2.5.0,393,240,5
console@0.16.1,642,571,8
const-oid@0.10.1,71,22,4
constant_time_eq@0.4.2,82,74,2
core-foundation@0.10.1,768,712,4
core-foundation-sys@0.8.7,624,615,2
crc32fast@1.5.0,999,923,4
criterion@0.7.0,198,127,7
crossbeam-channel@0.5.15,1000,973,3
crossbeam-deque@0.8.6,558,550,2
crossbeam-epoch@0.9.18,382,330,3
crossbeam-queue@0.3.12,997,915,4
crossbeam-utils@0.8.21,997,922,3
crunchy@0.2.4,270,187,5
crypto-common@0.1.7,372,186,6
csv-core@0.1.13,475,475,1
darling@0.21.3,538,499,4
darling_core@0.21.3,2,2,1
dashmap@7.0.0-rc2,5,5,1
data-encoding@2.9.0,997,897,4
der@0.8.0-rc.10,105,22,9
deranged@0.5.5,11,2,3
derive_more@0.99.20,77,72,4
digest@0.11.0-rc.4,104,51,7
displaydoc@0.2.5,999,537,2
either@1.15.0,995,768,5
encoding_rs@0.8.35,1000,970,4
env_logger@0.11.8,845,815,7
errno@0.3.14,895,529,2
event-listener@5.4.1,517,431,4
fastrand@2.3.0,1000,950,4
fixedbitset@0.5.7,822,731,3
flate2@1.1.5,993,862,12
fnv@1.0.7,1000,972,2
foreign-types@0.5.0,515,514,2
form_urlencoded@1.2.2,982,957,4
funty@3.0.0-rc2,2,0,1
futures@0.3.31,1000,923,11
futures-channel@0.3.31,1000,808,8
futures-core@0.3.31,1000,784,5
futures-executor@0.3.31,999,904,4
futures-io@0.3.31,1000,860,4
futures-lite@2.6.1,952,774,6
futures-sink@0.3.31,999,597,4
futures-task@0.3.31,473,194,4
futures-util@0.3.31,1000,853,15
generic-array@1.3.5,319,218,11
getrandom@0.3.4,563,179,7
gimli@0.32.3,329,203,9
h2@0.4.12,960,933,3
half@2.7.1,966,184,23
hashbrown@0.16.1,381,167,18
hashlink@0.11.0,6,6,1
hermit-abi@0.5.2,15,13,2
hex@0.4.3,998,913,6
hmac@0.13.0-rc.3,24,15,2
http@1.4.0,427,421,3
http-body-util@0.1.3,1000,970,3
httparse@1.10.1,969,900,3
humantime@2.3.0,999,989,2
hyper@1.8.1,803,241,24
hyper-rustls@0.27.7,505,84,47
hyper-tls@0.6.0,586,550,5
hyper-util@0.1.18,991,113,53
iana-time-zone@0.1.64,581,511,4
icu_collections@2.1.1,19,0,3
icu_normalizer@2.0.1,35,15,5
icu_properties@2.0.2,79,40,6
icu_provider@2.1.1,147,5,10
idna@1.1.0,403,368,4
idna_adapter@1.2.1,5,5,1
indexmap@2.12.1,940,388,10
instant@0.1.13,1000,367,11
io-lifetimes@3.0.1,1,1,1
ipnet@2.11.0,1000,724,8
is_terminal_polyfill@1.48.2,12,12,1
itertools@0.14.0,763,720,4
js-sys@0.3.82,991,977,3
lazy_static@1.5.0,992,842,4
lazycell@1.3.0,526,526,1
libc@0.2.177,997,958,4
libloading@0.9.0,71,71,1
libm@0.2.15,993,830,3
libz-sys@1.1.23,987,170,11
linked-hash-map@0.5.6,1000,596,3
linux-raw-sys@0.12.0,5,2,3
litemap@0.8.1,41,15,5
lock_api@0.4.14,813,650,5
log@0.4.28,1000,901,14
lru@0.16.2,468,452,2
matchers@0.2.0,6,6,1
matchit@0.9.0,30,30,1
md-5@0.11.0-rc.3,14,6,2
memchr@2.7.6,997,863,6
memoffset@0.9.1,822,816,2
mime_guess@2.0.5,1000,949,3
minimal-lexical@0.1.4,2,2,1
miniz_oxide@0.8.9,463,356,9
mio@1.1.0,704,103,10
multimap@0.10.1,524,499,2
native-tls@0.2.14,967,874,5
nix@0.30.1,493,21,97
nom@8.0.0,526,483,4
nu-ansi-term@0.50.3,927,804,4
num@0.1.43,5,5,1
num-bigint@0.1.45,0,0,0
num-complex@0.1.44,0,0,0
num-integer@0.1.46,1000,771,5
num-iter@0.1.45,311,235,3
num-rational@0.1.43,1,1,1
num-traits@0.2.19,1000,798,6
num_enum@0.7.5,963,809,4
num_enum_derive@0.7.5,5,1,2
object@0.38.0,1,0,1
once_cell@1.21.3,1000,962,5
openssl@0.10.75,991,397,6
openssl-sys@0.9.111,996,213,4
opentelemetry@0.31.0,454,358,7
ordered-float@5.1.0,633,357,6
os_str_bytes@7.1.1,58,26,4
parking_lot@0.12.5,996,920,12
parking_lot_core@0.9.12,182,137,5
pbkdf2@0.13.0-rc.2,22,11,5
pem@3.0.6,908,868,5
percent-encoding@2.3.2,1000,980,2
pest@2.8.4,988,919,5
pest_derive@2.8.4,991,952,4
pest_generator@2.8.4,50,12,3
pest_meta@2.8.4,247,245,2
petgraph@0.8.3,587,413,16
phf@0.13.1,464,73,8
phf_shared@0.13.1,14,9,2
pkcs8@0.11.0-rc.8,90,19,5
portable-atomic@1.11.1,980,373,21
powerfmt@0.2.0,27,0,1
ppv-lite86@0.2.21,37,21,3
prettyplease@0.2.37,995,961,4
proc-macro-error@1.0.4,997,896,3
proc-macro2@1.0.103,999,885,7
prost@0.14.1,468,433,4
prost-build@0.14.1,59,59,1
prost-types@0.14.1,674,658,3
pyo3-build-config@0.27.1,2,1,2
quick-xml@0.38.4,718,164,14
quote@1.0.42,999,978,3
radium@1.1.1,8,8,1
rand@0.10.0-rc.5,3,3,1
rand_chacha@0.10.0-rc.1,0,0,0
rand_core@0.10.0-rc-2,39,16,2
rand_xorshift@0.5.0-rc.0,1,1,1
rayon@1.11.0,998,941,2
rayon-core@1.13.0,357,344,3
redox_syscall@0.5.18,102,101,2
regex@1.12.2,1000,934,14
regex-automata@0.4.13,498,396,23
regex-syntax@0.8.8,983,699,6
reqwest@0.12.24,877,48,114
ring@0.17.14,955,813,7
rustc-demangle@0.1.26,1000,976,2
rustc-hash@2.1.1,955,757,4
rustix@1.1.2,889,27,95
rustls@0.23.35,896,395,26
rustls-pemfile@2.2.0,866,837,3
rustls-pki-types@1.13.0,997,830,5
rustls-webpki@0.103.8,165,87,8
ryu@1.0.20,1000,964,4
scopeguard@1.2.0,1000,925,3
security-framework@3.5.1,126,91,5
security-framework-sys@2.15.0,128,48,5
semver@1.0.27,995,665,5
serde@1.0.228,999,68,10
serde_derive@1.0.228,999,963,3
serde_json@1.0.145,997,927,12
