Crate,Estimation,Exact
adler@1.0.2,8,8
ahash@0.8.12,224,112
aho-corasick@1.1.4,4,4
allocator-api2@0.3.1,12,12
ansi_term@0.12.1,4,4
anstream@0.6.21,4,4
anstyle@1.0.13,2,2
anyhow@1.0.100,2,2
arc-swap@1.7.1,32,32
arrayvec@0.7.6,16,16
async-channel@2.5.0,12,12
async-lock@3.4.1,4,4
axum@0.8.7,1600,1344
axum-core@0.5.5,16,16
backtrace@0.3.76,3072,2560
base64@0.22.1,2,2
base64ct@1.8.0,6,6
bincode@2.0.1,3,3
bit-set@0.8.0,4,4
bit-vec@0.8.0,128,128
bitflags@2.10.0,40,32
bitvec@1.0.1,8,8
brotli@8.0.2,65536,65536
bstr@1.12.1,5,5
bumpalo@3.19.0,72,40
bytemuck@1.24.0,27262976,20971520
byteorder@1.5.0,4,4
bytes@1.11.0,8,8
cast@0.3.0,3,3
cc@1.2.47,3,3
cfg-if@1.0.4,8,8
chrono@0.4.42,12288,12288
clang-sys@1.9.0,28,28
clap@4.5.53,3840,2816
clap_builder@4.5.53,6144,5120
clap_derive@4.5.49,128,128
combine@4.6.7,65536,65536
concurrent-queue@2.5.0,12,10
console@0.16.1,3,3
core-foundation@0.10.1,16,16
core-foundation-sys@0.8.7,4,4
crc32fast@1.5.0,3,3
criterion@0.7.0,4096,2048
crossbeam-channel@0.5.15,2,2
crossbeam-deque@0.8.6,2,2
crossbeam-epoch@0.9.18,8,8
crossbeam-queue@0.3.12,6,6
crossbeam-utils@0.8.21,8,8
crunchy@0.2.4,64,64
crypto-common@0.1.7,12,10
csv-core@0.1.13,2,2
darling@0.21.3,8,8
data-encoding@2.9.0,4,4
der@0.8.0-rc.10,40960,32768
digest@0.11.0-rc.4,1152,1024
displaydoc@0.2.5,2,2
either@1.15.0,6,6
encoding_rs@0.8.35,8192,8192
env_logger@0.11.8,12,12
errno@0.3.14,2,2
event-listener@5.4.1,12,12
fastrand@2.3.0,2,2
fixedbitset@0.5.7,6,6
flate2@1.1.5,112,80
fnv@1.0.7,2,2
foreign-types@0.5.0,1,1
form_urlencoded@1.2.2,2,2
futures@0.3.31,320,320
futures-channel@0.3.31,20,20
futures-core@0.3.31,24,24
futures-executor@0.3.31,2,2
futures-io@0.3.31,6,6
futures-lite@2.6.1,10,10
futures-sink@0.3.31,3,3
futures-task@0.3.31,12,12
futures-util@0.3.31,22528,20480
generic-array@1.3.5,768,768
getrandom@0.3.4,6,5
gimli@0.32.3,56,48
h2@0.4.12,4,4
half@2.7.1,1152,832
hashbrown@0.16.1,448,320
hex@0.4.3,4,4
http@1.4.0,1,1
http-body-util@0.1.3,3,3
httparse@1.10.1,2,2
humantime@2.3.0,2,2
hyper@1.8.1,3072,2112
hyper-rustls@0.27.7,1518,630
hyper-tls@0.6.0,5,4
hyper-util@0.1.18,910,294
iana-time-zone@0.1.64,2,2
icu_provider@2.1.1,262144,196608
idna@1.1.0,3,3
indexmap@2.12.1,384,384
instant@0.1.13,12,12
ipnet@2.11.0,36,36
itertools@0.14.0,3,3
js-sys@0.3.82,1,1
lazy_static@1.5.0,8,8
lazycell@1.3.0,16,16
libc@0.2.177,128,128
libm@0.2.15,64,64
libz-sys@1.1.23,40,32
linked-hash-map@0.5.6,24,24
lock_api@0.4.14,16,16
log@0.4.28,29360128,18874368
lru@0.16.2,4,4
memchr@2.7.6,128,128
memoffset@0.9.1,4,4
mime_guess@2.0.5,3,3
miniz_oxide@0.8.9,288,192
mio@1.1.0,12,10
multimap@0.10.1,1,1
native-tls@0.2.14,5,4
nix@0.30.1,5897216,1835008
nom@8.0.0,4,4
nu-ansi-term@0.50.3,12,12
num-integer@0.1.46,6,5
num-iter@0.1.45,4,4
num-traits@0.2.19,8,8
num_enum@0.7.5,8,8
once_cell@1.21.3,64,64
openssl@0.10.75,768,768
openssl-sys@0.9.111,256,256
opentelemetry@0.31.0,24,20
ordered-float@5.1.0,163840,98304
parking_lot@0.12.5,128,96
parking_lot_core@0.9.12,4,4
pem@3.0.6,4,4
percent-encoding@2.3.2,1,1
pest@2.8.4,8,8
pest_derive@2.8.4,4,4
pest_meta@2.8.4,4,4
petgraph@0.8.3,1024,448
phf@0.13.1,16,16
portable-atomic@1.11.1,1088,176
prettyplease@0.2.37,3,3
proc-macro-error@1.0.4,2,2
proc-macro2@1.0.103,4,4
prost@0.14.1,6,6
prost-types@0.14.1,8,8
quick-xml@0.38.4,192,136
quote@1.0.42,2,2
rayon@1.11.0,8,8
rayon-core@1.13.0,8,8
redox_syscall@0.5.18,8,8
regex@1.12.2,64,64
regex-automata@0.4.13,136,88
regex-syntax@0.8.8,12,10
reqwest@0.12.24,75497472,9699328
ring@0.17.14,512,512
rustc-demangle@0.1.26,16,16
rustc-hash@2.1.1,4,4
rustix@1.1.2,652902400,60981248
rustls@0.23.35,3840,1792
rustls-pemfile@2.2.0,2,2
rustls-pki-types@1.13.0,6,5
rustls-webpki@0.103.8,28,24
ryu@1.0.20,6,6
scopeguard@1.2.0,2,2
security-framework@3.5.1,32,32
security-framework-sys@2.15.0,16,16
semver@1.0.27,4,4
serde@1.0.228,18,12
serde_derive@1.0.228,4,4
serde_json@1.0.145,80,48
serde_with@3.16.0,217088,86016
shlex@1.3.0,3,3
siphasher@1.0.1,24,24
slab@0.4.11,3,3
socket2@0.6.1,2,2
spin@0.10.0,800,272
stable_deref_trait@1.2.1,4,4
static_assertions@1.1.0,4,4
strum@0.27.2,6,6
subtle@2.6.1,48,36
syn@2.0.111,142,52
sync_wrapper@1.0.2,3,3
synstructure@0.13.2,1,1
target-lexicon@0.13.3,32,32
tempfile@3.23.0,4,4
textwrap@0.16.2,6,6
thiserror@2.0.17,2,2
thread_local@1.1.9,4,4
time@0.3.44,18432,8960
tinystr@0.8.2,32,28
tinyvec@1.10.0,46080,7936
tokio@1.47.2,9718,2566
tokio-native-tls@0.3.1,2,2
tokio-rustls@0.26.4,288,224
tokio-stream@0.1.17,128,128
tokio-util@0.7.17,334,162
toml@0.9.8,80,80
toml_edit@0.23.7,32,32
tonic@0.14.2,360,160
tower@0.5.2,380,104
tower-http@0.6.7,12799,2390
tracing@0.1.42,131072,131072
tracing-attributes@0.1.31,4,4
tracing-core@0.1.35,4,4
tracing-log@0.2.0,4,4
tracing-serde@0.2.0,8,8
tracing-subscriber@0.3.21,1184,608
tungstenite@0.28.0,80,64
typenum@1.19.0,160,64
ucd-trie@0.1.7,2,2
unicase@2.8.1,4,4
unicode-bidi@0.3.18,768,768
unicode-normalization@0.1.25,1,1
unicode-segmentation@1.12.0,4,4
unicode-width@0.2.2,32,32
unicode-xid@0.2.6,8,8
url@2.5.7,4,4
utf8parse@0.2.2,2,2
uuid@1.18.1,268435456,167772160
vec_map@0.8.2,3,3
wasi@0.14.7+wasi-0.2.4,4,4
wasm-bindgen@0.2.105,448,384
wasm-bindgen-futures@0.4.55,4,4
which@8.0.0,4,4
windows-core@0.62.2,1,1
winnow@0.7.14,512,512
winreg@0.55.0,32,32
writeable@0.6.2,4,4
zerocopy@0.8.30,192,160
zerofrom@0.1.6,8,8
zeroize@1.8.2,28,18
zerovec@0.11.5,384,384
zstd@0.13.3,3072,2560
zstd-safe@7.2.4,2560,2048
zstd-sys@2.0.16+zstd.1.5.7,8192,7168
